time,car_id,position,velocity,lane,distance,crashes
225, 1, 500.000000, 1.000000, 1, 450.000000, 0
226, 0, 452.000000, 1.000000, 1, 452.000000, 0
226, 1, 502.000000, 1.000000, 1, 452.000000, 0
227, 0, 454.000000, 1.000000, 1, 454.000000, 0
227, 1, 504.000000, 1.000000, 1, 454.000000, 0
228, 0, 456.000000, 1.000000, 1, 456.000000, 0
228, 1, 506.000000, 1.000000, 1, 456.000000, 0
229, 0, 458.000000, 1.000000, 1, 458.000000, 0
229, 1, 508.000000, 1.000000, 1, 458.000000, 0
230, 0, 460.000000, 1.000000, 1, 460.000000, 0
230, 1, 510.000000, 1.000000, 1, 460.000000, 0
231, 0, 462.000000, 1.000000, 1, 462.000000, 0
231, 1, 512.000000, 1.000000, 1, 462.000000, 0
232, 0, 464.000000, 1.000000, 1, 464.000000, 0
232, 1, 514.000000, 1.000000, 1, 464.000000, 0
233, 0, 466.000000, 1.000000, 1, 466.000000, 0
233, 1, 516.000000, 1.000000, 1, 466.000000, 0
234, 0, 468.000000, 1.000000, 1, 468.000000, 0
234, 1, 518.000000, 1.000000, 1, 468.000000, 0
235, 0, 470.000000, 1.000000, 1, 470.000000, 0
235, 1, 520.000000, 1.000000, 1, 470.000000, 0
236, 0, 472.000000, 1.000000, 1, 472.000000, 0
236, 1, 522.000000, 1.000000, 1, 472.000000, 0
237, 0, 474.000000, 1.000000, 1, 474.000000, 0
237, 1, 524.000000, 1.000000, 1, 474.000000, 0
238, 0, 476.000000, 1.000000, 1, 476.000000, 0
238, 1, 526.000000, 1.000000, 1, 476.000000, 0
239, 0, 478.000000, 1.000000, 1, 478.000000, 0
239, 1, 528.000000, 1.000000, 1, 478.000000, 0
